n,var,Percentage
3,0.0,0.0
3,0.025,0.0
3,0.05,0.0
3,0.07500000000000001,0.0
3,0.1,0.0
3,0.125,0.0
3,0.15000000000000002,0.0
3,0.17500000000000002,0.0
3,0.2,0.0
3,0.225,0.0
3,0.25,0.0
3,0.275,0.0
3,0.30000000000000004,0.0
3,0.325,0.0
3,0.35000000000000003,0.0
3,0.375,0.0
3,0.4,0.0
3,0.42500000000000004,0.0
3,0.45,0.0
3,0.47500000000000003,0.0
3,0.5,0.0
3,0.525,0.0
3,0.55,0.0
3,0.5750000000000001,0.0
3,0.6000000000000001,0.0
3,0.625,0.0
3,0.65,0.0
3,0.675,0.0
3,0.7000000000000001,0.0
3,0.7250000000000001,0.0
3,0.75,0.0
3,0.775,0.0
3,0.8,0.0
3,0.8250000000000001,0.0
3,0.8500000000000001,0.0
3,0.875,0.0
3,0.9,0.0
3,0.925,0.0
3,0.9500000000000001,0.0
3,0.9750000000000001,0.0
3,1.0,0.0
4,0.0,0.0
4,0.025,0.0
4,0.05,0.0
4,0.07500000000000001,0.0
4,0.1,0.0
4,0.125,0.0
4,0.15000000000000002,0.0
4,0.17500000000000002,0.0
4,0.2,0.0
4,0.225,0.0
4,0.25,0.0
4,0.275,0.0
4,0.30000000000000004,0.0
4,0.325,0.0
4,0.35000000000000003,0.0
4,0.375,0.0
4,0.4,0.0
4,0.42500000000000004,0.0
4,0.45,0.0
4,0.47500000000000003,0.0
4,0.5,0.0
4,0.525,0.0
4,0.55,0.0
4,0.5750000000000001,0.0
4,0.6000000000000001,0.0
4,0.625,0.0
4,0.65,0.0
4,0.675,0.0
4,0.7000000000000001,0.0
4,0.7250000000000001,0.0
4,0.75,0.0
4,0.775,0.0
4,0.8,0.0
4,0.8250000000000001,0.0
4,0.8500000000000001,0.0
4,0.875,0.0
4,0.9,0.0
4,0.925,0.0
4,0.9500000000000001,0.0
4,0.9750000000000001,0.0
4,1.0,0.0
5,0.0,0.0
5,0.025,0.0
5,0.05,0.0
5,0.07500000000000001,0.0
5,0.1,0.0
5,0.125,0.0
5,0.15000000000000002,0.0
5,0.17500000000000002,0.0
5,0.2,0.0
5,0.225,0.0
5,0.25,0.0
5,0.275,0.0
5,0.30000000000000004,0.0
5,0.325,0.0
5,0.35000000000000003,0.0
5,0.375,0.0
5,0.4,0.0
5,0.42500000000000004,0.0
5,0.45,0.0
5,0.47500000000000003,0.0
5,0.5,0.0
5,0.525,0.0
5,0.55,0.0
5,0.5750000000000001,0.0
5,0.6000000000000001,0.0
5,0.625,0.0
5,0.65,0.0
5,0.675,0.0
5,0.7000000000000001,0.0
5,0.7250000000000001,0.0
5,0.75,0.0
5,0.775,0.0
5,0.8,0.0
5,0.8250000000000001,0.0
5,0.8500000000000001,0.0
5,0.875,0.0
5,0.9,0.0
5,0.925,0.0
5,0.9500000000000001,0.0
5,0.9750000000000001,0.0
5,1.0,0.0
6,0.0,0.0
6,0.025,0.0
6,0.05,0.0
6,0.07500000000000001,0.0
6,0.1,0.0
6,0.125,0.0
6,0.15000000000000002,0.0
6,0.17500000000000002,0.0
6,0.2,0.0
6,0.225,0.0
6,0.25,0.0
6,0.275,0.0
6,0.30000000000000004,0.0
6,0.325,0.0
6,0.35000000000000003,0.0
6,0.375,0.0
6,0.4,0.0
6,0.42500000000000004,0.0
6,0.45,0.0
6,0.47500000000000003,0.0
6,0.5,0.0
6,0.525,0.0
6,0.55,0.0
6,0.5750000000000001,0.0
6,0.6000000000000001,0.0
6,0.625,0.0
6,0.65,0.0
6,0.675,0.0
6,0.7000000000000001,0.0
6,0.7250000000000001,0.0
6,0.75,0.0
6,0.775,0.0
6,0.8,0.0
6,0.8250000000000001,0.0
6,0.8500000000000001,0.0
6,0.875,0.0
6,0.9,0.0
6,0.925,0.0
6,0.9500000000000001,0.0
6,0.9750000000000001,0.0
6,1.0,0.0
7,0.0,0.0
7,0.025,0.0
7,0.05,0.0
7,0.07500000000000001,0.0
7,0.1,0.0
7,0.125,0.0
7,0.15000000000000002,0.0
7,0.17500000000000002,0.0
7,0.2,0.0
7,0.225,0.0
7,0.25,0.0
7,0.275,0.0
7,0.30000000000000004,0.0
7,0.325,0.0
7,0.35000000000000003,0.0
7,0.375,0.0
7,0.4,0.0
7,0.42500000000000004,0.0
7,0.45,0.0
7,0.47500000000000003,0.0
7,0.5,0.0
7,0.525,0.0
7,0.55,0.0
7,0.5750000000000001,0.0
7,0.6000000000000001,0.0
7,0.625,0.0
7,0.65,0.0
7,0.675,0.0
7,0.7000000000000001,0.0
7,0.7250000000000001,0.0
7,0.75,0.0
7,0.775,0.0
7,0.8,0.0
7,0.8250000000000001,0.0
7,0.8500000000000001,0.0
7,0.875,0.0
7,0.9,0.0
7,0.925,0.0
7,0.9500000000000001,0.0
7,0.9750000000000001,0.0
7,1.0,0.0
8,0.0,0.0
8,0.025,0.0
8,0.05,0.0
8,0.07500000000000001,0.0
8,0.1,0.0
8,0.125,0.0
8,0.15000000000000002,0.0
8,0.17500000000000002,0.0
8,0.2,0.0
8,0.225,0.0
8,0.25,0.0
8,0.275,0.0
8,0.30000000000000004,0.0
8,0.325,0.0
8,0.35000000000000003,0.0
8,0.375,0.0
8,0.4,0.0
8,0.42500000000000004,0.0
8,0.45,0.0
8,0.47500000000000003,0.0
8,0.5,0.0
8,0.525,0.0
8,0.55,0.0
8,0.5750000000000001,0.0
8,0.6000000000000001,0.0
8,0.625,0.0
8,0.65,0.0
8,0.675,0.0
8,0.7000000000000001,0.0
8,0.7250000000000001,0.0
8,0.75,0.0
8,0.775,0.0
8,0.8,0.0
8,0.8250000000000001,0.0
8,0.8500000000000001,0.0
8,0.875,0.0
8,0.9,0.0
8,0.925,0.0
8,0.9500000000000001,0.0
8,0.9750000000000001,0.0
8,1.0,0.0
9,0.0,0.0
9,0.025,0.0
9,0.05,0.0
9,0.07500000000000001,0.0
9,0.1,0.0
9,0.125,0.0
9,0.15000000000000002,0.0
9,0.17500000000000002,0.0
9,0.2,0.0
9,0.225,0.0
9,0.25,0.0
9,0.275,0.0
9,0.30000000000000004,0.0
9,0.325,0.0
9,0.35000000000000003,0.0
9,0.375,0.0
9,0.4,0.0
9,0.42500000000000004,0.0
9,0.45,0.0
9,0.47500000000000003,0.0
9,0.5,0.0
9,0.525,0.0
9,0.55,0.0
9,0.5750000000000001,0.0
9,0.6000000000000001,0.0
9,0.625,0.0
9,0.65,0.0
9,0.675,0.0
9,0.7000000000000001,0.0
9,0.7250000000000001,0.0
9,0.75,0.0
9,0.775,0.0
9,0.8,0.0
9,0.8250000000000001,0.0
9,0.8500000000000001,0.0
9,0.875,0.0
9,0.9,0.0
9,0.925,0.0
9,0.9500000000000001,0.0
9,0.9750000000000001,0.0
9,1.0,0.0
10,0.0,0.0
10,0.025,0.0
10,0.05,0.0
10,0.07500000000000001,0.0
10,0.1,0.0
10,0.125,0.0
10,0.15000000000000002,0.0
10,0.17500000000000002,0.0
10,0.2,0.0
10,0.225,0.0
10,0.25,0.0
10,0.275,0.0
10,0.30000000000000004,0.0
10,0.325,0.0
10,0.35000000000000003,0.0
10,0.375,0.0
10,0.4,0.0
10,0.42500000000000004,0.0
10,0.45,0.0
10,0.47500000000000003,0.0
10,0.5,0.0
10,0.525,0.0
10,0.55,0.0
10,0.5750000000000001,0.0
10,0.6000000000000001,0.0
10,0.625,0.0
10,0.65,0.0
10,0.675,0.0
10,0.7000000000000001,0.0
10,0.7250000000000001,0.0
10,0.75,0.0
10,0.775,0.0
10,0.8,0.0
10,0.8250000000000001,0.0
10,0.8500000000000001,0.0
10,0.875,0.0
10,0.9,0.0
10,0.925,0.0
10,0.9500000000000001,0.0
10,0.9750000000000001,0.0
10,1.0,0.0
11,0.0,0.0
11,0.025,0.0
11,0.05,0.0
11,0.07500000000000001,0.0
11,0.1,0.0
11,0.125,0.0
11,0.15000000000000002,0.0
11,0.17500000000000002,0.0
11,0.2,0.0
11,0.225,0.0
11,0.25,0.0
11,0.275,0.0
11,0.30000000000000004,0.0
11,0.325,0.0
11,0.35000000000000003,0.0
11,0.375,0.0
11,0.4,0.0
11,0.42500000000000004,0.0
11,0.45,0.0
11,0.47500000000000003,0.0
11,0.5,0.0
11,0.525,0.0
11,0.55,0.0
11,0.5750000000000001,0.0
11,0.6000000000000001,0.0
11,0.625,0.0
11,0.65,0.0
11,0.675,0.0
11,0.7000000000000001,0.0
11,0.7250000000000001,0.0
11,0.75,0.0
11,0.775,0.0
11,0.8,0.0
11,0.8250000000000001,0.0
11,0.8500000000000001,0.0
11,0.875,0.0
11,0.9,0.0
11,0.925,0.0
11,0.9500000000000001,0.0
11,0.9750000000000001,0.0
11,1.0,0.0
12,0.0,0.0
12,0.025,0.0
12,0.05,0.0
12,0.07500000000000001,0.0
12,0.1,0.0
12,0.125,0.0
12,0.15000000000000002,0.0
12,0.17500000000000002,0.0
12,0.2,0.0
12,0.225,0.0
12,0.25,0.0
12,0.275,0.0
12,0.30000000000000004,0.0
12,0.325,0.0
12,0.35000000000000003,0.0
12,0.375,0.0
12,0.4,0.0
12,0.42500000000000004,0.0
12,0.45,0.0
12,0.47500000000000003,0.0
12,0.5,0.0
12,0.525,0.0
12,0.55,0.0
12,0.5750000000000001,0.0
12,0.6000000000000001,0.0
12,0.625,0.0
12,0.65,0.0
12,0.675,0.0
12,0.7000000000000001,0.0
12,0.7250000000000001,0.0
12,0.75,0.0
12,0.775,0.0
12,0.8,0.0
12,0.8250000000000001,0.0
12,0.8500000000000001,0.0
12,0.875,0.0
12,0.9,0.0
12,0.925,0.0
12,0.9500000000000001,0.0
12,0.9750000000000001,0.0
12,1.0,0.0
13,0.0,0.0
13,0.025,0.0
13,0.05,0.0
13,0.07500000000000001,0.0
13,0.1,0.0
13,0.125,0.0
13,0.15000000000000002,0.0
13,0.17500000000000002,0.0
13,0.2,0.0
13,0.225,0.0
13,0.25,0.0
13,0.275,0.0
13,0.30000000000000004,0.0
13,0.325,0.0
13,0.35000000000000003,0.0
13,0.375,0.0
13,0.4,0.0
13,0.42500000000000004,0.0
13,0.45,0.0
13,0.47500000000000003,0.0
13,0.5,0.0
13,0.525,0.0
13,0.55,0.0
13,0.5750000000000001,0.0
13,0.6000000000000001,0.0
13,0.625,0.0
13,0.65,0.0
13,0.675,0.0
13,0.7000000000000001,0.0
13,0.7250000000000001,0.0
13,0.75,0.0
13,0.775,0.0
13,0.8,0.0
13,0.8250000000000001,0.0
13,0.8500000000000001,0.0
13,0.875,0.0
13,0.9,0.0
13,0.925,0.0
13,0.9500000000000001,0.0
13,0.9750000000000001,0.0
13,1.0,0.0
14,0.0,0.0
14,0.025,0.0
14,0.05,0.0
14,0.07500000000000001,0.0
14,0.1,0.0
14,0.125,0.0
14,0.15000000000000002,0.0
14,0.17500000000000002,0.0
14,0.2,0.0
14,0.225,0.0
14,0.25,0.0
14,0.275,0.0
14,0.30000000000000004,0.0
14,0.325,0.0
14,0.35000000000000003,0.0
14,0.375,0.0
14,0.4,0.0
14,0.42500000000000004,0.0
14,0.45,0.0
14,0.47500000000000003,0.0
14,0.5,0.0
14,0.525,0.0
14,0.55,0.0
14,0.5750000000000001,0.0
14,0.6000000000000001,0.0
14,0.625,0.0
14,0.65,0.0
14,0.675,0.0
14,0.7000000000000001,0.0
14,0.7250000000000001,0.0
14,0.75,0.0
14,0.775,0.0
14,0.8,0.0
14,0.8250000000000001,0.0
14,0.8500000000000001,0.0
14,0.875,0.0
14,0.9,0.0
14,0.925,0.0
14,0.9500000000000001,0.0
14,0.9750000000000001,0.0
14,1.0,0.0
15,0.0,0.0
15,0.025,0.0
15,0.05,0.0
15,0.07500000000000001,0.0
15,0.1,0.0
15,0.125,0.0
15,0.15000000000000002,0.0
15,0.17500000000000002,0.0
15,0.2,0.0
15,0.225,0.0
15,0.25,0.0
15,0.275,0.0
15,0.30000000000000004,0.0
15,0.325,0.0
15,0.35000000000000003,0.0
15,0.375,0.0
15,0.4,0.0
15,0.42500000000000004,0.0
15,0.45,0.0
15,0.47500000000000003,0.0
15,0.5,0.0
15,0.525,0.0
15,0.55,0.0
15,0.5750000000000001,0.0
15,0.6000000000000001,0.0
15,0.625,0.0
15,0.65,0.0
15,0.675,0.0
15,0.7000000000000001,0.0
15,0.7250000000000001,0.0
15,0.75,0.0
15,0.775,0.0
15,0.8,0.0
15,0.8250000000000001,0.0
15,0.8500000000000001,0.0
15,0.875,0.0
15,0.9,0.0
15,0.925,0.0
15,0.9500000000000001,0.0
15,0.9750000000000001,0.0
15,1.0,0.0
16,0.0,0.0
16,0.025,0.0
16,0.05,0.0
16,0.07500000000000001,0.0
16,0.1,0.0
16,0.125,0.0
16,0.15000000000000002,0.0
16,0.17500000000000002,0.0
16,0.2,0.0
16,0.225,0.0
16,0.25,0.0
16,0.275,0.0
16,0.30000000000000004,0.0
16,0.325,0.0
16,0.35000000000000003,0.0
16,0.375,0.0
16,0.4,0.0
16,0.42500000000000004,0.0
16,0.45,0.0
16,0.47500000000000003,0.0
16,0.5,0.0
16,0.525,0.0
16,0.55,0.0
16,0.5750000000000001,0.0
16,0.6000000000000001,0.0
16,0.625,0.0
16,0.65,0.0
16,0.675,0.0
16,0.7000000000000001,0.0
16,0.7250000000000001,0.0
16,0.75,0.0
16,0.775,0.0
16,0.8,0.0
16,0.8250000000000001,0.0
16,0.8500000000000001,0.0
16,0.875,0.0
16,0.9,0.0
16,0.925,0.0
16,0.9500000000000001,0.0
16,0.9750000000000001,0.0
16,1.0,0.0
17,0.0,0.0
17,0.025,0.0
17,0.05,0.0
17,0.07500000000000001,0.0
17,0.1,0.0
17,0.125,0.0
17,0.15000000000000002,0.0
17,0.17500000000000002,0.0
17,0.2,0.0
17,0.225,0.0
17,0.25,0.0
17,0.275,0.0
17,0.30000000000000004,0.0
17,0.325,0.0
17,0.35000000000000003,0.0
17,0.375,0.0
17,0.4,0.0
17,0.42500000000000004,0.0
17,0.45,0.0
17,0.47500000000000003,0.0
17,0.5,0.0
17,0.525,0.0
17,0.55,0.0
17,0.5750000000000001,0.0
17,0.6000000000000001,0.0
17,0.625,0.0
17,0.65,0.0
17,0.675,0.0
17,0.7000000000000001,0.0
17,0.7250000000000001,0.0
17,0.75,0.0
17,0.775,0.0
17,0.8,0.0
17,0.8250000000000001,0.0
17,0.8500000000000001,0.0
17,0.875,0.0
17,0.9,0.0
17,0.925,0.0
17,0.9500000000000001,0.0
17,0.9750000000000001,0.0
17,1.0,0.0
18,0.0,0.0
18,0.025,0.0
18,0.05,0.0
18,0.07500000000000001,0.0
18,0.1,0.0
18,0.125,0.0
18,0.15000000000000002,0.0
18,0.17500000000000002,0.0
18,0.2,0.0
18,0.225,0.0
18,0.25,0.0
18,0.275,0.0
18,0.30000000000000004,0.0
18,0.325,0.0
18,0.35000000000000003,0.0
18,0.375,0.0
18,0.4,0.0
18,0.42500000000000004,0.0
18,0.45,0.0
18,0.47500000000000003,0.0
18,0.5,0.0
18,0.525,0.0
18,0.55,0.0
18,0.5750000000000001,0.0
18,0.6000000000000001,0.0
18,0.625,0.0
18,0.65,0.0
18,0.675,0.0
18,0.7000000000000001,0.0
18,0.7250000000000001,0.0
18,0.75,0.0
18,0.775,0.0
18,0.8,0.0
18,0.8250000000000001,0.0
18,0.8500000000000001,0.0
18,0.875,0.0
18,0.9,0.0
18,0.925,0.0
18,0.9500000000000001,0.0
18,0.9750000000000001,0.0
18,1.0,0.0
19,0.0,0.0
19,0.025,0.0
19,0.05,0.0
19,0.07500000000000001,0.0
19,0.1,0.0
19,0.125,0.0
19,0.15000000000000002,0.0
19,0.17500000000000002,0.0
19,0.2,0.0
19,0.225,0.0
19,0.25,0.0
19,0.275,0.0
19,0.30000000000000004,0.0
19,0.325,0.0
19,0.35000000000000003,0.0
19,0.375,0.0
19,0.4,0.0
19,0.42500000000000004,0.0
19,0.45,0.0
19,0.47500000000000003,0.0
19,0.5,0.0
19,0.525,0.0
19,0.55,0.0
19,0.5750000000000001,0.0
19,0.6000000000000001,0.0
19,0.625,0.0
19,0.65,0.0
19,0.675,0.0
19,0.7000000000000001,0.0
19,0.7250000000000001,0.0
19,0.75,0.0
19,0.775,0.0
19,0.8,0.0
19,0.8250000000000001,0.0
19,0.8500000000000001,0.0
19,0.875,0.0
19,0.9,0.0
19,0.925,0.0
19,0.9500000000000001,0.0
19,0.9750000000000001,0.0
19,1.0,0.0
20,0.0,0.0
20,0.025,0.0
20,0.05,0.0
20,0.07500000000000001,0.0
20,0.1,0.0
20,0.125,0.0
20,0.15000000000000002,0.0
20,0.17500000000000002,0.0
20,0.2,0.0
20,0.225,0.0
20,0.25,0.0
20,0.275,0.0
20,0.30000000000000004,0.0
20,0.325,0.0
20,0.35000000000000003,0.0
20,0.375,0.0
20,0.4,0.0
20,0.42500000000000004,0.0
20,0.45,0.0
